zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
46864,9324,Indiana Michigan Power Co,IN,Bundled,Investor Owned,0.0710620147831,0.0530697337372,0.0834739376984
20006,15270,Potomac Electric Power Co,DC,Bundled,Investor Owned,0.143585317084,0,0.134360948962
44688,14006,Ohio Power Co,OH,Delivery,Investor Owned,0.0211440437665,0.0166783677366,0.0411685777019
71638,814,Entergy Arkansas Inc,AR,Bundled,Investor Owned,0.0735129328027,0.0594501735324,0.0908957415387
21263,1167,Baltimore Gas & Electric Co,MD,Delivery,Investor Owned,0.0208319666328,0.0127224664944,0.0387422546228
11369,4226,Consolidated Edison Co-NY Inc,NY,Bundled,Investor Owned,0.207022402207,0.186480275464,0.255883549667
65325,12698,KCP&L Greater Missouri Operations Co.,MO,Bundled,Investor Owned,0.0820527708575,0.0612682023365,0.103866870171
32562,7801,Gulf Power Co,FL,Bundled,Investor Owned,0.104848571058,0.0880458423028,0.120146984723
63031,19436,Union Electric Co - (MO),MO,Bundled,Investor Owned,0.0739452457931,0.0503920669116,0.0917193891547
93636,14328,Pacific Gas & Electric Co,CA,Bundled,Investor Owned,0.14236755409,0.0942779331025,0.153192073937
45809,14006,Ohio Power Co,OH,Bundled,Investor Owned,0.0941051893015,0.05438076086,0.112022297446
01524,11804,Massachusetts Electric Co,MA,Delivery,Investor Owned,0.044144134938,0.0372516938506,0.0574635315201
16728,20387,West Penn Power Company,PA,Bundled,Investor Owned,0.0876536534112,0.0736572279699,0.0978299037709
58011,14232,Otter Tail Power Co,ND,Bundled,Investor Owned,0.0682686814286,0.059734664486,0.0769118644674
21013,1167,Baltimore Gas & Electric Co,MD,Delivery,Investor Owned,0.0208319666328,0.0127224664944,0.0387422546228
84737,14354,PacifiCorp,UT,Bundled,Investor Owned,0.0718483299508,0.0492487493384,0.0906282337084
32902,6452,Florida Power & Light Co,FL,Bundled,Investor Owned,0.0916089018318,0.073936822339,0.106422375844
92365,17609,Southern California Edison Co,CA,Delivery,Investor Owned,0.0474274645472,0.0273389371479,0.0992220435482
84069,14354,PacifiCorp,UT,Bundled,Investor Owned,0.0718483299508,0.0492487493384,0.0906282337084
04927,3266,Central Maine Power Co,ME,Bundled,Investor Owned,0.115879828326,0,0.159420289855
16364,14711,Pennsylvania Electric Co,PA,Bundled,Investor Owned,0.103665281593,0.093954613241,0.137058440442
97014,14354,PacifiCorp,OR,Bundled,Investor Owned,0.0814672954453,0.0638780896957,0.0972998245464
90505,17609,Southern California Edison Co,CA,Bundled,Investor Owned,0.125366193373,0.0900763521792,0.144165775709
48618,4254,Consumers Energy Co,MI,Bundled,Investor Owned,0.112411513551,0.0813493564469,0.133706143047
75631,17698,Southwestern Electric Power Co,TX,Bundled,Investor Owned,0.063361497895,0.0523869807842,0.0786961199144
06075,4176,Connecticut Light & Power Co,CT,Delivery,Investor Owned,0.0610970074796,0.0446359775655,0.0783138884037
06018,4176,Connecticut Light & Power Co,CT,Bundled,Investor Owned,0.155305860046,0.124954144688,0.172784864003
53102,20847,Wisconsin Electric Power Co,WI,Bundled,Investor Owned,0.114723710636,0.0823695718427,0.139680752838
18044,12390,Metropolitan Edison Co,PA,Delivery,Investor Owned,0.0253935687269,0.0107110845772,0.0460441889912
17272,20387,West Penn Power Company,PA,Bundled,Investor Owned,0.0876536534112,0.0736572279699,0.0978299037709
44012,3755,Cleveland Electric Illum Co,OH,Bundled,Investor Owned,0.12563433844,0.0572636110379,0.116363088107
06520,19497,United Illuminating Co,CT,Bundled,Investor Owned,0.173161786592,0.14927095353,0.222593623717
49101,9324,Indiana Michigan Power Co,MI,Bundled,Investor Owned,0.0865560565707,0.0706795950536,0.0855352909021
